45.39.199.198:60616#HK-0.04MB/s-Cloudflare, Inc.
141.11.90.10:22219#HK-1.99MB/s-AKILE LTD
156.226.173.139:33892#HK-0.33MB/s-AKILE LTD
178.253.32.238:10291#MO-0.26MB/s-AKILE LTD
45.207.156.126:25482#HK-7.05MB/s-AKILE LTD
45.202.248.31:33892#HK-0.01MB/s-AKILE LTD
154.16.10.118:3005#US-8.14MB/s-FiberPower LLC
45.207.157.10:33892#HK-1.15MB/s-AKILE LTD
45.207.157.100:18567#HK-0.03MB/s-AKILE LTD
45.207.35.77:37424#MO-0.10MB/s-AKILE LTD
156.226.173.114:443#HK-7.54MB/s-AKILE LTD
141.11.90.10:22213#HK-0.05MB/s-AKILE LTD
154.83.84.230:7768#HK-0.04MB/s-AKILE LTD
45.207.34.212:443#MO-测速失败-AKILE LTD
103.232.213.203:33539#TW-2.12MB/s-Akari Networks
156.246.90.188:22222#JP-0.88MB/s-AKILE LTD
154.83.94.181:18742#JP-5.43MB/s-AKILE LTD
45.196.233.54:15241#JP-1.71MB/s-AKILE LTD
156.246.91.145:27728#MY-1.55MB/s-Evoxt Sdn. Bhd.
103.232.213.203:57360#TW-1.09MB/s-Akari Networks
156.231.113.112:12092#JP-0.88MB/s-AKILE LTD
156.246.88.223:35561#JP-2.31MB/s-AKILE LTD
103.232.213.128:38763#JP-3.70MB/s-Nearoute Limited
156.246.91.187:53506#JP-2.10MB/s-AKILE LTD
156.231.112.115:22716#JP-2.01MB/s-AKILE LTD
156.224.77.53:46029#HK-1.13MB/s-AKILE LTD
45.207.157.100:17461#HK-0.03MB/s-AKILE LTD
156.226.173.183:443#HK-0.02MB/s-AKILE LTD
45.207.157.100:16364#HK-9.80MB/s-AKILE LTD
45.202.248.137:28105#HK-0.05MB/s-AKILE LTD
45.202.248.137:28106#HK-0.03MB/s-AKILE LTD
151.242.165.206:24380#JP-5.34MB/s-AKILE LTD
45.196.233.54:15247#JP-1.42MB/s-AKILE LTD
45.192.249.51:30027#JP-1.72MB/s-AKILE LTD
156.231.112.162:36560#JP-1.31MB/s-AKILE LTD
156.231.116.224:50443#JP-0.77MB/s-AKILE LTD
45.196.233.54:17449#JP-2.45MB/s-AKILE LTD
45.192.249.200:16356#JP-4.77MB/s-AKILE LTD
156.246.88.8:46392#JP-1.65MB/s-AKILE LTD
45.196.233.54:18549#JP-1.23MB/s-AKILE LTD
141.11.90.60:33892#HK-0.01MB/s-AKILE LTD
91.229.132.67:33892#HK-0.01MB/s-AKILE LTD
156.224.78.88:51941#HK-0.06MB/s-AKILE LTD
91.229.132.67:8444#HK-4.94MB/s-AKILE LTD
83.147.12.154:26649#TW-3.66MB/s-AKILE LTD
83.147.13.159:34443#TW-1.12MB/s-AKILE LTD
166.0.198.193:443#TW-6.30MB/s-AKILE LTD
156.246.95.201:30049#JP-1.04MB/s-AKILE LTD
154.83.94.119:18181#JP-4.00MB/s-AKILE LTD
156.246.88.156:54310#JP-0.02MB/s-AKILE LTD
156.246.90.115:443#JP-3.87MB/s-AKILE LTD
